,Country,Deaths per million,drop_start_cases,drop_end_cases,Cases per million,drop_duration,retail,grocery and pharmacy,transit,work,residential
32,Nigeria,0.02479718853560626,0.02990249205764284,0.09845942506784838,1.1771371263667207,12,-49.57142857142857,-35.857142857142854,-47.857142857142854,-43.285714285714285,24.571428571428573
23,Indonesia,0.0720521063540647,0.08859740485018328,0.4456556207825484,1.4293003023421131,13,-37.42857142857143,-18.857142857142858,-49.142857142857146,-32.714285714285715,15.857142857142858
27,Japan,0.07564606538281368,0.1106464836942648,0.33871372559468815,3.83423937373187,14,-10.714285714285714,0.0,-20.428571428571427,-4.142857142857143,5.0
22,India,0.0814294293462261,0.015631070743503842,0.08016204523188795,2.7753599797148243,10,-75.57142857142857,-61.857142857142854,-71.57142857142857,-65.42857142857143,28.142857142857142
3,Bangladesh,0.0885353555667928,0.02124848533603027,0.007082828445343423,6.738425912188599,11,-69.0,-46.0,-66.0,-55.857142857142854,23.142857142857142
0,Afghanistan,0.11529295659725165,0.069175773958351,0.6148957685186756,6.825343030557299,14,-38.0,-19.857142857142858,-33.714285714285715,-29.857142857142858,10.428571428571429
16,Egypt,0.13498505399761393,0.08418422722431837,0.40930951857340997,3.1336852858155755,20,-58.142857142857146,-32.57142857142857,-59.714285714285715,-40.142857142857146,16.857142857142858
37,Philippines,0.14332338319898527,0.040184126130556615,0.4889068679217722,2.311926723378024,14,-73.28571428571429,-46.285714285714285,-77.85714285714286,-62.857142857142854,29.714285714285715
34,Pakistan,0.1454050773743163,0.319083364238083,0.49680068102891406,7.623668987333945,10,-69.14285714285714,-52.57142857142857,-59.57142857142857,-58.42857142857143,22.571428571428573
43,South_Africa,0.15576425889390552,0.1211499791397043,1.3227599763212612,7.990953726112741,18,-74.85714285714286,-51.714285714285715,-78.85714285714286,-68.0,33.57142857142857
8,Cameroon,0.17562380257496107,0.07364869140240303,0.6854993584377512,3.9033806443273606,12,-21.285714285714285,-15.0,-18.571428571428573,-11.714285714285714,8.857142857142858
33,Norway,0.18817026247493573,11.639674807378166,27.392213923137074,7.688099295404516,10,-48.142857142857146,-15.857142857142858,-52.0,-45.0,16.857142857142858
1,Argentina,0.2054828514061612,0.09953075614985935,1.7080762023137153,3.027661388687657,15,-84.57142857142857,-55.57142857142857,-79.28571428571429,-68.0,29.714285714285715
41,Saudi_Arabia,0.2543454614759059,0.34336637299247297,3.777030102917203,48.05009676382323,17,-56.857142857142854,-23.714285714285715,-75.85714285714286,-41.857142857142854,22.0
11,Colombia,0.33089640598882786,0.18415104333291288,1.0962741798412472,10.52826043054888,10,-81.71428571428571,-58.57142857142857,-77.71428571428571,-69.57142857142857,32.57142857142857
28,Kuwait,0.3452900009574892,0.10358700028724674,2.313443006415177,29.107947080716336,32,-56.285714285714285,-28.857142857142858,-52.285714285714285,-39.57142857142857,22.285714285714285
25,Israel,0.385935233635542,1.1578057009066263,31.13210884660039,7.654382133771583,14,-65.42857142857143,-19.0,-54.42857142857143,-53.0,25.142857142857142
2,Austria,0.4036864061299361,5.167185998463182,44.74460125544211,4.020716605054163,10,-81.14285714285714,-34.42857142857143,-67.57142857142857,-54.714285714285715,21.857142857142858
20,Honduras,0.4172089513849355,0.357607672615659,0.5960127876927651,9.431902365238008,6,-81.57142857142857,-63.142857142857146,-75.28571428571429,-68.71428571428571,27.428571428571427
42,Serbia,0.4296711411664483,1.1457897097771954,10.434870571185172,12.665068399144356,12,-69.71428571428571,-35.857142857142854,-70.14285714285714,-55.57142857142857,21.571428571428573
12,Czechia,0.4571129565776974,1.3982278671788393,11.656380392731286,4.692130054282836,10,-68.85714285714286,-21.0,-58.42857142857143,-37.42857142857143,17.285714285714285
10,Chile,0.4576515215540137,1.4034646660989754,8.969969822458669,74.02513361136171,10,-64.71428571428571,-37.285714285714285,-56.857142857142854,-41.857142857142854,25.0
38,Poland,0.47019024679782007,0.23697588438610132,1.3428633448545741,8.50480118407897,7,-54.714285714285715,-25.714285714285715,-51.42857142857143,-32.714285714285715,14.857142857142858
47,Turkey,0.6351541495172444,0.6230063925592643,16.13569202789983,19.137923390372052,11,-61.285714285714285,-24.857142857142858,-59.0,-43.57142857142857,19.428571428571427
5,Bolivia,0.6417355024463083,0.15099658881089606,0.9940608763383992,15.879807923279236,12,-88.28571428571429,-78.85714285714286,-86.57142857142857,-78.85714285714286,39.714285714285715
14,Dominican_Republic,0.6452466727620073,0.13442639015875152,7.353123541683708,32.53118641841787,10,-74.28571428571429,-51.714285714285715,-79.57142857142857,-67.28571428571429,29.428571428571427
48,United_Arab_Emirates,0.9344863787707952,0.9493194958941411,4.909761767827511,55.69835479816407,19,-61.57142857142857,-31.857142857142858,-72.57142857142857,-47.285714285714285,25.571428571428573
39,Portugal,1.0003843977048181,2.9872589653685537,32.693117886103295,28.580426473316813,10,-75.57142857142857,-44.0,-72.57142857142857,-58.714285714285715,30.142857142857142
21,Hungary,1.0236687571688803,0.45333902103193274,2.74928180496785,3.6413360076435883,10,-53.0,-23.285714285714285,-51.857142857142854,-39.142857142857146,17.142857142857142
17,Finland,1.0873406366379428,4.556475048768522,11.08051886859618,17.785786127863492,10,-39.0,-11.428571428571429,-49.714285714285715,-35.142857142857146,12.714285714285714
46,Switzerland,1.0903149653227002,18.3676136465901,102.97605495563164,7.279949153077721,10,-70.14285714285714,-18.857142857142858,-56.714285714285715,-44.57142857142857,20.428571428571427
19,Germany,1.2093117959197663,8.394553250024245,48.49305848310743,11.452286067342742,10,-60.42857142857143,-18.428571428571427,-56.285714285714285,-38.857142857142854,15.571428571428571
40,Romania,1.342453684907722,0.3007683119192164,10.094077980508336,15.617944782341752,19,-71.71428571428571,-45.714285714285715,-66.14285714285714,-46.857142857142854,19.714285714285715
6,Bosnia_and_Herzegovina,1.461265525570148,1.5472223211919216,7.091435638796308,8.337809175312023,10,-73.28571428571429,-41.0,-66.14285714285714,-52.285714285714285,20.285714285714285
35,Panama,1.5048851822198774,1.470683246260335,24.96741325046615,42.78662188538788,15,-80.0,-53.857142857142854,-75.0,-68.14285714285714,37.857142857142854
13,Denmark,1.5524077326464103,2.6612703988224173,12.813524142478308,23.95143358940176,13,-37.0,-18.142857142857142,-57.57142857142857,-46.0,16.428571428571427
29,Mexico,1.606411124988662,0.09735824999931283,2.636597258702321,13.923361822576146,25,-59.42857142857143,-19.571428571428573,-59.0,-52.285714285714285,20.714285714285715
30,Moldova,1.772679551387986,0.9266279473164472,3.223053729796338,32.47226632769811,8,-59.0,-36.142857142857146,-57.285714285714285,-47.714285714285715,16.285714285714285
36,Peru,2.7419920524030226,0.18756297426861068,1.3352697453884428,100.39531486982467,10,-82.85714285714286,-59.857142857142854,-83.71428571428571,-72.0,37.857142857142854
7,Brazil,3.146045249497214,0.25643030865184313,1.893219512812544,43.48130520852902,10,-69.0,-29.428571428571427,-60.714285714285715,-45.42857142857143,20.857142857142858
18,France,3.3055333852602056,8.067634062218941,31.076279025814014,16.794242199305884,10,-83.71428571428571,-47.42857142857143,-80.57142857142857,-67.0,29.285714285714285
31,Netherlands,3.606453243175208,6.392127472386402,22.152742679917598,17.791835999664357,7,-36.57142857142857,4.285714285714286,-52.42857142857143,-36.42857142857143,14.428571428571429
9,Canada,4.344440637886933,0.7208610463929517,18.59975694570049,42.35733250142114,15,-53.42857142857143,-21.857142857142858,-65.14285714285714,-53.0,21.0
44,Spain,4.363030519172228,16.592968905078965,91.02437392170735,20.326157597376994,10,-86.85714285714286,-47.285714285714285,-78.85714285714286,-62.285714285714285,26.428571428571427
24,Ireland,4.562239573384094,4.415070554887833,64.43059629766312,43.85636751188581,20,-75.71428571428571,-26.428571428571427,-75.57142857142857,-65.0,28.285714285714285
26,Italy,4.62390598969364,18.077203017989397,89.05037762359888,27.204453031387732,14,-82.85714285714286,-50.857142857142854,-80.28571428571429,-64.28571428571429,29.571428571428573
15,Ecuador,4.70773184080451,0.2257704435199321,8.721428614492194,0.1755992338488361,10,-83.42857142857143,-63.0,-82.28571428571429,-76.0,35.42857142857143
50,United_States_of_America,5.555477836988594,0.3929835772451257,26.102405849040412,83.78933844969075,15,-37.285714285714285,-5.714285714285714,-41.857142857142854,-36.57142857142857,15.571428571428571
49,United_Kingdom,7.425504257002272,2.0067769027893867,36.68276451961799,70.90325245401475,17,-77.0,-32.857142857142854,-71.85714285714286,-63.857142857142854,24.285714285714285
45,Sweden,7.729837277105196,10.703930748514093,15.501760782579387,53.856343569522416,10,-24.857142857142858,-5.571428571428571,-35.0,-23.714285714285715,9.571428571428571
4,Belgium,10.205807614823215,6.503700931014794,37.84653657163609,38.5094137819126,10,-75.14285714285714,-26.714285714285715,-66.14285714285714,-57.857142857142854,24.0
