"Region, subregion, country or area *",0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
Afghanistan,11088.732,9821.559,7035.871,4534.646,2963.459,1840.198,1057.496,480.455,105.925
Africa,381402.490,297692.210,224709.051,169886.397,116573.518,76436.014,46583.911,21390.005,5924.517
African Group,381085.458,297389.798,224441.270,169644.536,116345.211,76241.552,46454.815,21329.313,5894.638
African Union,381198.052,297488.167,224546.255,169753.251,116428.005,76293.503,46483.189,21336.925,5896.574
African Union: Central Africa,50720.352,37205.247,25933.295,18278.461,11819.384,7551.738,4493.182,2079.291,538.688
African Union: Eastern Africa,112738.875,92426.453,69256.657,47711.467,31707.594,19928.644,11792.770,5500.894,1500.318
African Union: Northern Africa,46182.247,35145.980,32681.772,31885.966,23976.750,17686.493,11814.518,5603.722,2055.451
African Union: Southern Africa,49795.675,40438.906,31266.210,24993.232,16666.972,10571.202,6428.545,3013.777,827.669
African Union: Western Africa,121760.903,92271.581,65408.321,46884.125,32257.305,20555.426,11954.174,5139.241,974.448
African, Caribbean and Pacific (ACP) Group of States,343018.234,270199.394,199447.358,144803.600,98160.721,63814.499,37976.376,17548.426,4711.298
Albania,333.832,361.778,472.679,390.773,323.019,386.091,330.242,194.668,84.718
Algeria,9677.490,6731.747,6573.715,7275.235,5448.619,3800.056,2530.542,1237.834,575.805
Andean Community,18501.872,18668.161,19298.568,17273.399,14124.034,11332.590,7751.053,4197.235,2023.907
Angola,10899.168,7881.779,5306.037,3699.729,2412.735,1464.602,785.897,331.729,84.592
Antigua and Barbuda,14.583,13.867,14.894,14.094,13.860,12.832,8.043,4.101,1.654
Argentina,7446.468,7136.711,6997.584,6441.412,5727.744,4424.940,3528.742,2300.637,1191.539
Armenia,418.859,368.930,408.924,503.953,353.088,362.653,328.402,126.743,91.682
Aruba,11.757,14.010,14.980,11.244,14.271,17.205,13.754,6.958,2.587
Asia,726754.901,719074.498,718651.698,719723.433,617757.912,532549.792,359182.223,175891.713,71468.616
Asia-Pacific Economic Cooperation (APEC),384728.558,378029.224,405353.503,450790.061,421268.760,405516.914,297080.316,155870.830,73611.316
Asia-Pacific Group,723816.763,716810.679,715936.099,716660.074,615321.597,530124.269,357231.190,174927.335,70854.224
Association of Southeast Asian Nations (ASEAN),112696.315,109933.665,108491.777,100772.397,89090.321,71943.141,46095.039,20095.157,8183.600
Australia,3308.974,3130.480,3375.454,3718.344,3306.060,3107.735,2651.187,1846.376,1055.271
Australia/New Zealand,3924.258,3755.433,4046.689,4337.410,3897.934,3736.426,3173.499,2208.208,1242.257
Austria,874.182,876.208,1115.377,1243.416,1178.265,1407.000,1033.320,790.437,488.195
Azerbaijan,1686.038,1335.458,1608.985,1766.692,1280.803,1281.076,804.308,242.762,133.053
BRIC,453228.771,465222.611,474761.671,503412.018,435609.260,393636.971,274212.947,128020.972,49716.807
BRICS,464814.376,475631.785,484903.160,513567.343,442652.535,398548.503,277377.388,129497.027,50138.601
Bahamas,53.654,63.795,66.568,55.457,56.496,49.222,29.430,13.645,4.981
Bahrain,218.135,181.855,306.670,507.733,256.721,140.231,66.572,17.818,5.848
Bangladesh,28972.610,30674.422,29765.033,26511.633,20651.270,15005.703,7296.837,4095.812,1716.063
Barbados,30.618,36.512,37.578,37.124,39.067,39.936,33.573,20.154,12.809
Belarus,1143.840,928.883,1077.802,1530.348,1285.401,1345.791,1243.251,525.562,368.443
Belgium,1302.703,1312.251,1386.085,1503.997,1518.439,1598.741,1369.876,939.413,658.111
Belize,78.106,77.850,75.819,59.715,43.958,31.810,17.814,8.311,4.238
Belt-Road Initiative (BRI),707649.497,611359.475,544143.613,490209.486,391140.681,301232.278,206364.756,103408.617,47553.392
Belt-Road Initiative: Africa,335827.697,262515.299,200151.064,152722.403,105093.812,69230.961,42301.969,19382.172,5434.199
Belt-Road Initiative: Asia,290955.974,270387.327,262107.170,242188.693,198013.134,151984.941,94896.433,44126.981,17865.072
Belt-Road Initiative: Europe,44442.918,42027.891,45439.881,62166.174,60047.962,56218.676,52801.528,30912.064,19838.281
Belt-Road Initiative: Latin America and the Caribbean,33296.563,33569.344,33954.027,31065.159,26276.005,22390.327,15377.874,8450.076,4190.580
Belt-Road Initiative: Pacific,3126.345,2859.614,2491.471,2067.057,1709.768,1407.373,986.952,537.324,225.260
Benin,3596.950,2779.486,2061.768,1436.443,981.832,650.681,379.183,184.835,52.020
Bhutan,125.828,135.993,153.314,138.681,89.604,59.014,36.908,22.234,10.036
Black Sea Economic Cooperation (BSEC),44338.714,41020.985,42178.421,54547.504,48158.720,42928.348,38502.889,19811.077,11870.528
Bolivarian Alliance for the Americas (ALBA),10062.109,10031.629,8862.311,8342.544,7210.264,6451.331,4233.410,2362.953,1133.797
Bolivia (Plurinational State of),2364.587,2297.696,2039.534,1639.099,1238.343,883.592,615.318,391.941,202.919
Bosnia and Herzegovina,295.212,346.275,403.272,458.385,447.738,500.182,463.795,242.498,123.458
Botswana,539.005,472.033,402.509,365.289,261.015,146.583,104.251,48.558,12.382
Brazil,29076.910,31160.446,34104.643,34476.762,29462.006,24421.202,16896.862,8801.551,4159.027
Brunei Darussalam,66.355,65.084,69.696,76.568,68.003,50.221,28.513,9.569,3.474
Bulgaria,649.382,685.881,689.917,957.591,1061.985,944.704,922.592,710.368,326.025
Burkina Faso,6552.188,5029.543,3508.065,2428.033,1587.133,977.490,538.877,234.237,47.712
Burundi,3872.447,2725.292,2029.581,1539.547,747.632,491.974,339.631,112.129,32.548
Cabo Verde,105.076,99.937,97.845,98.286,64.906,47.912,26.373,9.056,6.597
Cambodia,3530.587,3100.069,3117.605,2889.268,1429.087,1387.484,816.776,352.445,95.650
Cameroon,7846.026,6176.459,4551.787,3399.842,2141.843,1288.477,733.299,332.734,75.397
Canada,3970.921,3971.320,5096.616,5278.661,4846.667,5182.433,4712.744,3018.676,1664.119
Caribbean,6919.236,6956.741,6688.381,6171.780,5249.580,5071.313,3385.873,2042.891,1046.579
Caribbean Community and Common Market (CARICOM),3651.817,3513.773,3269.911,2843.849,2040.782,1629.344,1096.763,563.938,239.646
Central African Republic,1435.609,1264.608,839.990,501.335,339.529,232.596,139.061,61.506,15.530
Central America,32244.164,32215.986,31014.514,26324.890,22036.581,16634.374,10882.385,5572.408,2744.884
Central Asia,16021.724,12079.588,12261.432,11933.611,8483.576,6925.986,4464.695,1456.933,711.381
Central European Free Trade Agreement (CEFTA),2596.193,2847.164,3388.629,3791.534,3504.284,3473.331,3311.766,1888.113,945.644
Central and Southern Asia,367984.455,371654.232,350318.907,313060.686,240743.853,180278.909,117825.504,54110.706,18731.279
Chad,5452.549,4038.728,2781.017,1769.646,1082.831,654.647,417.349,180.661,48.431
Channel Islands,17.563,17.780,21.769,23.889,24.914,26.178,20.012,13.293,8.461
Chile,2428.079,2493.879,2995.538,2945.404,2578.404,2352.271,1791.787,993.126,537.721
China,170667.620,166604.610,185147.170,228830.425,216111.763,222185.873,151663.905,71494.305,26618.103
China (and dependencies),173453.518,169392.914,189223.485,233630.978,221122.138,227152.612,155892.794,73538.070,27880.370
China, Hong Kong SAR,664.195,552.659,867.629,1122.165,1129.130,1207.906,1048.881,525.084,379.339
China, Macao SAR,68.817,46.834,88.332,129.802,93.402,99.615,78.994,29.881,13.665
China, Taiwan Province of China,2052.886,2188.811,3120.354,3548.586,3787.843,3659.218,3101.014,1488.800,869.263
Colombia,7414.155,8119.876,8847.061,7810.299,6450.787,5543.980,3771.358,1979.761,945.607
Commonwealth of Independent States (CIS),42906.637,34771.699,36434.252,48185.993,38747.397,35240.924,31370.170,14070.137,8865.629
Commonwealth of Nations,514485.517,489675.692,438356.205,378554.265,289264.637,216412.225,143014.611,69962.808,25659.590
Commonwealth: Africa,168274.900,133297.765,98174.153,74419.840,50178.163,31568.628,18300.435,8008.542,1771.441
Commonwealth: Asia,326335.092,337376.243,319172.447,282408.354,219464.705,164957.844,108342.461,50300.860,17295.167
Commonwealth: Caribbean and Americas,5016.568,5035.710,6225.804,6307.349,5707.513,5956.474,5248.114,3303.344,1796.938
Commonwealth: Europe,8219.551,7825.057,8805.721,9548.766,8830.325,9374.215,7464.858,5954.482,3511.929
Commonwealth: Pacific,6639.406,6140.917,5978.080,5869.956,5083.931,4555.064,3658.743,2395.580,1284.115
Comoros,237.638,191.268,150.845,117.377,77.036,50.892,29.656,11.659,3.224
Congo,1592.335,1257.964,874.261,680.079,535.814,327.892,164.737,69.397,15.613
Costa Rica,705.598,718.837,824.456,825.655,650.562,602.395,423.008,230.865,112.738
Countries with Access to the Sea,1190976.717,1129290.609,1091681.191,1073380.651,918091.945,793418.687,564058.373,298516.144,139789.014
Countries with Access to the Sea: Africa,277932.553,215931.277,165092.028,129995.089,90978.633,60658.298,37066.899,16831.604,4723.180
Countries with Access to the Sea: Asia,689646.520,687246.146,689434.157,695402.299,600345.999,518932.536,350526.003,172554.998,70134.184
Countries with Access to the Sea: Europe,72742.950,71195.215,75813.982,95304.472,94175.403,94892.906,83406.395,54806.994,36728.385
Countries with Access to the Sea: Latin America and the Caribbean,100138.747,102277.233,103989.180,96698.629,82160.694,66930.555,46097.704,24775.345,12088.686
Countries with Access to the Sea: Northern America,43705.752,46319.089,51206.782,49962.411,45209.242,47322.935,43217.068,27110.565,14815.800
Countries with Access to the Sea: Oceania,6810.195,6321.649,6145.062,6017.751,5221.974,4681.457,3744.304,2436.638,1298.779
Croatia,385.776,408.106,472.200,539.291,557.002,581.383,565.378,361.955,234.177
Cuba,1199.376,1246.732,1421.019,1523.033,1561.982,1967.295,1174.022,804.207,428.950
Curaçao,19.331,21.574,19.538,18.723,20.281,24.426,20.705,13.005,6.517
Cyprus,132.393,141.657,191.802,188.389,166.628,147.538,120.401,78.681,39.872
Czechia,1113.646,1061.331,1105.339,1478.210,1798.354,1351.270,1324.617,1031.099,445.116
Côte d'Ivoire,7750.286,6104.858,4660.994,3172.215,2117.552,1337.226,822.066,341.744,71.334
Dem. People's Republic of Korea,3430.371,3561.229,3925.716,3641.894,3714.316,3622.786,2134.683,1303.959,443.861
Democratic Republic of the Congo,29487.306,21000.020,14169.236,9762.334,6605.529,4347.003,2585.841,1268.686,335.449
Denmark,606.029,675.948,775.962,672.290,738.207,810.126,654.530,586.138,272.973
Denmark (and dependencies),619.671,690.563,790.687,685.479,750.260,826.369,666.258,592.756,275.797
Djibouti,197.110,179.320,177.328,162.416,120.922,78.077,44.334,22.330,6.165
Dominican Republic,1999.348,1935.875,1854.317,1564.382,1274.489,1014.335,682.139,341.500,181.519
ECE: North America-2,43692.405,46303.715,51190.691,49946.931,45195.064,47302.510,43200.914,27101.273,14811.301
ECE: UNECE-52,157363.193,153788.182,164488.304,184049.333,172673.068,170435.538,148154.512,93272.366,57257.992
ECLAC: Latin America,102270.470,104100.244,105617.763,97819.416,82575.401,66859.245,45985.746,24686.419,12019.328
ECLAC: The Caribbean,1616.419,1810.590,1731.594,1627.038,1550.819,1502.745,1129.104,694.127,362.381
ESCAP region: East and North-East Asia,189902.260,187286.204,209392.482,255823.821,248163.576,252448.446,177413.766,93159.139,40683.158
ESCAP region: North and Central Asia,37302.391,29511.070,30387.824,39237.887,31010.730,27991.004,24558.632,10624.942,6740.490
ESCAP region: Pacific,6808.751,6319.893,6143.290,6016.362,5220.140,4679.742,3742.718,2435.938,1298.379
ESCAP region: South and South-West Asia,365382.001,373169.793,351231.638,313901.806,243706.856,182261.346,119553.201,56007.352,19494.679
ESCAP region: South-East Asia,113028.193,110240.381,108736.685,100931.424,89191.109,72031.614,46145.183,20124.071,8191.194
ESCAP: ADB Developing member countries (DMCs),642722.713,641285.129,635943.752,630070.771,537139.306,468523.125,311659.631,143945.866,52944.512
ESCAP: ADB Group A (Concessional assistance only),35401.645,33856.954,29857.135,23258.702,17309.775,13123.219,8157.057,3493.496,999.896
ESCAP: ADB Group B (OCR blend),327232.328,336491.634,317846.023,280487.189,216956.006,162363.652,105872.122,48628.520,16739.677
ESCAP: ADB Group C (Regular OCR only),280088.740,270936.541,288240.594,326324.880,302873.525,293036.254,197630.452,91823.850,35204.939
ESCAP: ASEAN,112696.315,109933.665,108491.777,100772.397,89090.321,71943.141,46095.039,20095.157,8183.600
ESCAP: Central Asia,18679.784,14255.033,14780.039,14769.332,10635.413,9093.338,6057.263,2075.224,1085.084
ESCAP: ECO,110243.852,94007.118,86353.720,78565.149,57078.780,42373.627,26818.210,12447.265,4743.072
ESCAP: HDI groups,712423.596,706527.341,705891.919,715911.300,617292.411,539412.152,371413.500,182351.442,76407.900
ESCAP: Landlocked countries (LLDCs),37108.381,31828.352,29217.541,24321.134,17411.913,13617.256,8656.220,3336.715,1334.432
ESCAP: Least Developed Countries (LDCs),60409.854,61783.583,56913.834,47326.891,36382.576,26860.457,14708.493,7370.081,2618.404
ESCAP: Pacific island dev. econ.,2884.493,2564.460,2096.601,1678.952,1322.206,943.316,569.219,227.730,56.122
ESCAP: SAARC,337396.875,347826.716,325714.568,284387.629,220604.661,165057.592,107963.904,50299.166,17125.541
ESCAP: WB High income econ.,19654.691,21072.477,24889.742,28210.793,32956.174,31159.544,27525.045,22842.432,14994.582
ESCAP: WB Low income econ.,19982.086,19502.918,16847.961,11969.282,9723.428,7770.684,4680.257,2595.949,771.399
ESCAP: WB Lower middle income econ.,435205.913,439352.392,416481.372,371459.871,295148.509,223845.212,144553.533,65084.547,23057.851
ESCAP: WB Upper middle income econ.,237578.028,226596.656,247670.288,304269.140,279461.784,276634.087,194652.662,91827.448,37583.642
ESCAP: WB income groups,712420.718,706524.443,705889.363,715909.086,617289.895,539409.527,371411.497,182350.376,76407.474
ESCAP: high HDI,19571.078,20982.993,24804.366,28124.441,32874.584,31088.122,27478.751,22818.085,14985.831
ESCAP: high income,19604.738,21016.597,24839.246,28161.141,32906.020,31113.719,27495.279,22829.481,14989.964
ESCAP: income groups,712423.596,706527.341,705891.919,715911.300,617292.411,539412.152,371413.500,182351.442,76407.900
ESCAP: low HDI,353483.011,363139.670,339969.422,296403.437,229122.683,171454.233,111527.663,51360.267,17398.401
ESCAP: low income,380581.617,386814.566,366271.689,322806.463,251004.294,189817.410,123296.612,56121.803,20020.654
ESCAP: lower middle HDI,278104.233,268716.391,286580.546,323551.914,300808.271,291177.175,195418.396,90683.031,34675.819
ESCAP: lower middle income,100377.979,95271.829,92303.688,90027.230,79044.951,63211.186,40618.146,18400.172,6962.773
ESCAP: other Asia-Pacific countries/areas,39631.714,33983.186,34320.824,34110.050,25896.164,16569.225,9893.995,4447.946,1975.029
ESCAP: upper middle HDI,61265.274,53688.287,54537.585,67831.508,54486.873,45692.622,36988.690,17490.059,9347.849
ESCAP: upper middle income,211859.262,203424.349,222477.296,274916.466,254337.146,255269.837,180003.463,84999.986,34434.509
ESCWA: Arab countries,99754.859,79867.002,73227.717,68232.523,49939.437,33163.230,19946.636,9072.043,3175.428
ESCWA: Arab least developed countries,27120.154,22189.664,17169.855,11777.659,7764.607,5105.877,3103.263,1447.804,396.830
ESCWA: Gulf Cooperation Council countries,8897.499,7177.057,10058.569,13821.966,10385.757,5285.776,2127.646,685.891,223.934
ESCWA: Maghreb countries,19733.285,15654.625,15277.755,15959.123,12522.722,9522.500,6512.414,2997.944,1271.138
ESCWA: Mashreq countries,44003.921,34845.656,30721.538,26673.775,19266.351,13249.077,8203.313,3940.404,1283.526
ESCWA: member countries,84427.257,68827.077,63631.953,59143.091,43238.966,28500.233,16879.314,7590.113,2539.012
East African Community (EAC),57911.330,46498.333,33516.774,24419.428,15571.739,9400.619,5245.673,2197.145,522.191
Eastern Africa,130038.385,105675.163,78156.366,54107.638,35270.322,21714.909,12849.530,5977.914,1615.351
Eastern Asia,191955.146,189475.015,212512.836,259372.407,251951.419,256107.664,180514.780,94647.939,41552.421
Eastern Europe,33708.119,30034.079,32275.464,47113.106,42501.791,38010.114,37731.712,19661.248,11977.577
Eastern European Group,39400.590,35402.831,38468.016,54044.552,48695.164,44281.067,43205.125,22653.574,13680.534
Eastern and South-Eastern Asia,304983.339,299715.396,321249.521,360303.831,341142.528,328139.278,226659.963,114772.010,49743.615
Economic Community of Central African States (ECCAS),65180.543,47992.821,33450.375,23790.744,15302.213,9744.787,5724.233,2585.837,666.562
Economic Community of West African States (ECOWAS),121760.903,92271.581,65408.321,46884.125,32257.305,20555.426,11954.174,5139.241,974.448
Economic Cooperation Organization (ECO),110243.852,94007.118,86353.720,78565.149,57078.780,42373.627,26818.210,12447.265,4743.072
Ecuador,3277.730,3115.985,3036.188,2592.839,2088.240,1591.139,1087.738,570.124,283.077
Egypt,25028.540,18385.431,16511.130,15198.349,10948.602,7844.892,5122.657,2530.980,763.822
El Salvador,1146.823,1165.823,1215.814,882.442,725.142,568.071,406.296,248.391,127.399
Equatorial Guinea,371.663,265.297,286.385,248.981,115.362,62.217,34.879,14.721,3.480
Eritrea,971.770,860.625,572.236,460.764,280.842,171.950,128.327,77.082,22.831
Estonia,143.661,137.488,145.554,193.631,184.938,165.283,169.472,107.429,79.083
Eswatini,286.620,277.018,212.887,161.329,104.399,51.717,36.522,22.585,7.087
Ethiopia,32037.548,26828.994,21439.045,13792.878,9038.653,5704.066,3624.554,1929.368,568.477
Eurasian Economic Community (Eurasec),34455.241,27255.765,27937.228,36974.629,29446.473,26633.984,23874.871,10428.755,6684.574
Europe,159641.302,156289.438,168034.962,210625.354,208531.404,208538.204,183885.224,120498.338,79227.864
Europe (48),79820.651,78144.719,84017.481,105312.677,104265.702,104269.102,91942.612,60249.169,39613.932
Europe and Northern America,123526.403,124463.808,135224.263,155275.088,149474.944,151592.037,135159.680,87359.734,54429.732
European Community (EC: 12),38803.463,40686.651,43071.443,48698.407,52550.002,56521.863,45769.022,34533.975,24225.473
European Free Trade Agreement (EFTA),1545.986,1526.587,1818.622,2009.683,1939.864,2081.329,1605.863,1225.103,702.210
European Union (EU: 15),41440.275,43296.646,46136.103,51968.702,55651.950,59946.065,48608.535,36901.644,25556.767
European Union (EU: 28),51791.925,53699.121,57832.019,66971.171,71406.947,73218.388,62368.309,45475.906,30372.740
Fiji,177.140,158.135,141.945,134.954,106.523,91.437,57.119,23.633,5.558
Finland,568.679,606.660,672.353,706.580,659.560,720.555,712.325,582.988,311.018
France,7527.474,7883.477,7371.029,8011.050,8325.667,8635.057,7764.786,5727.704,4027.268
France (and dependencies),7969.258,8347.672,7758.800,8342.754,8690.223,9008.198,8037.635,5881.363,4111.784
French Guiana,66.121,57.553,46.109,38.719,36.990,26.711,17.226,7.222,2.031
French Polynesia,39.634,44.134,40.380,43.367,39.588,35.649,23.042,10.823,4.287
Gabon,600.006,422.770,367.413,350.066,232.164,134.152,71.303,36.693,11.161
Gambia,762.310,556.857,429.179,283.131,174.067,115.911,59.281,30.008,5.920
Georgia,553.163,471.057,500.698,565.076,517.946,523.623,459.858,248.786,148.968
Germany,7880.904,7930.616,9377.361,10872.020,10243.351,13488.393,10644.142,7471.414,5875.744
Ghana,8057.871,6616.721,5398.591,4190.418,3031.250,2134.979,1091.067,456.790,95.258
Greater Arab Free Trade Area (GAFTA),92796.919,74551.269,69417.766,65798.547,48264.953,32033.139,19258.783,8760.761,3096.262
Greece,881.127,1068.855,1057.216,1336.515,1574.409,1505.694,1257.162,956.083,785.995
Grenada,18.131,16.137,18.289,18.210,12.871,12.145,9.576,4.788,2.372
Group of 77 (G77),1145025.987,1056739.852,980940.117,918589.901,749300.919,617369.351,405979.157,190919.021,70415.162
Group of Eight (G8),100942.410,102016.937,110356.334,124047.430,120238.729,123605.798,110758.085,76895.027,49700.261
Group of Seven (G7),82319.803,86760.900,94748.549,99578.875,99863.412,104708.132,92256.716,68345.309,44044.855
Group of Twenty (G20) - member states,651544.619,664522.032,680576.983,710187.559,632018.446,573304.074,415629.816,221160.618,104387.271
Guadeloupe,44.994,58.513,46.878,33.760,49.307,62.202,50.569,32.942,20.962
Guam,26.980,27.161,27.031,21.835,19.936,20.164,14.331,7.781,3.564
Guatemala,4047.467,3871.605,3413.159,2532.064,1701.993,1053.817,718.852,382.507,194.103
Guinea,3965.624,3199.454,2365.739,1470.866,898.439,614.524,408.149,171.250,38.747
Guinea-Bissau,582.349,450.029,342.384,254.506,156.575,92.188,60.416,24.637,4.914
Gulf Cooperation Council (GCC),8897.499,7177.057,10058.569,13821.966,10385.757,5285.776,2127.646,685.891,223.934
Guyana,147.628,145.351,145.306,93.109,90.525,79.337,51.356,22.940,11.007
Haiti,2500.779,2346.529,2044.457,1731.656,1106.487,789.624,523.932,260.215,98.854
High-income countries,138552.860,142310.417,159276.910,173403.354,172829.959,168486.178,143829.871,101191.930,63211.455
Honduras,2005.992,2064.638,1905.418,1470.937,1047.736,680.011,420.078,205.311,104.487
Hungary,908.566,969.207,1151.690,1257.142,1588.213,1201.388,1306.432,846.576,431.136
Iceland,43.070,44.708,47.798,46.871,42.966,42.111,37.536,23.415,12.775
India,234861.634,252201.518,239902.073,215636.276,169660.174,128132.230,87150.811,39175.398,13284.271
Indonesia,47956.446,46303.005,43571.426,41166.622,37846.725,29155.099,17531.211,7574.475,2418.612
Iran (Islamic Republic of),14565.856,11747.928,12342.907,16739.446,11655.616,8295.331,5396.905,2354.607,894.357
Iraq,10610.230,8710.757,7165.590,5403.683,3936.620,2341.152,1292.393,573.718,188.360
Ireland,671.943,668.747,567.337,695.928,763.228,600.933,480.785,330.663,158.232
Israel,1671.096,1405.063,1196.975,1122.245,1040.177,795.496,703.643,459.660,261.186
Italy,4994.995,5733.448,6103.436,6998.434,9022.004,9567.192,7484.862,6028.908,4528.549
Jamaica,464.789,466.600,515.496,443.383,357.430,320.533,214.541,119.521,58.868
Japan,10179.969,11267.171,12147.325,14455.416,18473.075,16541.515,15875.235,16185.375,11351.377
Jordan,2212.563,2179.853,1802.536,1490.608,1141.345,755.591,366.278,190.751,63.615
Kazakhstan,3868.010,2720.923,2573.192,2993.495,2286.421,2039.441,1438.909,552.505,303.811
Kenya,14013.910,12746.879,9594.274,7470.146,4903.045,2805.603,1518.826,574.339,144.278
Kiribati,29.463,23.632,20.524,16.604,11.173,9.988,5.141,2.330,0.591
Kuwait,608.326,533.226,444.882,878.556,965.369,561.299,220.263,48.550,10.092
Kyrgyzstan,1529.450,1100.701,1082.940,1014.705,686.435,581.435,363.824,111.214,53.487
LLDC: Africa,103469.937,81760.933,59617.023,39891.308,25594.885,15777.716,9517.012,4558.401,1201.337
LLDC: Asia,37108.381,31828.352,29217.541,24321.134,17411.913,13617.256,8656.220,3336.715,1334.432
LLDC: Europe,651.610,652.737,853.816,1099.853,862.709,803.847,732.935,318.872,140.964
LLDC: Latin America,3748.498,3633.974,3360.577,2748.225,1965.981,1431.956,1017.480,605.666,293.202
Land-locked Countries,151404.557,124172.822,100398.700,76968.951,55063.191,40203.224,27727.019,13943.158,5714.585
Land-locked Countries (Others),6426.131,6296.826,7349.743,8908.431,9227.703,8572.449,7803.372,5123.504,2744.650
Land-locked Developing Countries (LLDC),144978.426,117875.996,93048.957,68060.520,45835.488,31630.775,19923.647,8819.654,2969.935
Lao People's Democratic Republic,1566.742,1466.251,1362.625,1086.529,772.684,526.577,317.971,136.164,40.013
Latin America and the Caribbean,207774.490,211822.414,214699.514,198893.708,168253.350,136725.022,94230.368,50762.022,24763.776
