"Region, subregion, country or area *",0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
Latin American Integration Association (ALADI),88547.317,90756.776,93194.142,87756.828,75305.955,61643.672,42462.689,22867.128,11124.044
Latin American and Caribbean Group (GRULAC),103420.948,105266.865,106842.723,98930.890,83508.971,67698.114,46558.044,24989.772,12159.996
Latvia,207.769,188.724,188.223,263.222,253.887,264.242,250.144,162.704,107.287
League of Arab States (LAS, informal name: Arab League),99754.859,79867.002,73227.717,68232.523,49939.437,33163.230,19946.636,9072.043,3175.428
Least developed countries,285555.325,237402.409,184411.628,134612.106,93445.326,62961.866,36246.554,17513.874,5289.075
Least developed: Africa,214611.284,166522.023,119720.591,81413.121,53593.459,33888.950,20134.679,9480.107,2471.275
Least developed: Asia,68134.029,68292.058,62461.557,51325.963,38635.319,28211.203,15547.624,7754.060,2713.062
Least developed: Latin America and the Caribbean,2500.779,2346.529,2044.457,1731.656,1106.487,789.624,523.932,260.215,98.854
Least developed: Oceania,309.233,241.799,185.023,141.366,110.061,72.089,40.319,19.492,5.884
Lebanon,1152.157,1134.997,1176.574,1009.646,862.743,724.778,447.767,211.573,105.207
Lesotho,478.748,428.821,395.192,327.281,210.251,140.771,96.813,48.309,16.066
Less developed regions,1204750.604,1113976.960,1040661.554,976281.609,801309.070,661751.833,437576.888,206705.784,78480.166
Less developed regions, excluding China,1031297.086,944584.046,851438.069,742650.631,580186.932,434599.221,281684.094,133167.714,50599.796
Less developed regions, excluding least developed countries,919195.279,876574.551,856249.926,841669.503,707863.744,598789.967,401330.334,189191.910,73191.091
Less developed: Africa,381402.490,297692.210,224709.051,169886.397,116573.518,76436.014,46583.911,21390.005,5924.517
Less developed: Asia,716574.932,707807.327,706504.373,705268.017,599284.837,516008.277,343306.988,159706.338,60117.239
Less developed: Latin America and the Caribbean,103887.245,105911.207,107349.757,99446.854,84126.675,68362.511,47115.184,25381.011,12381.888
Less developed: Oceania,2885.937,2566.216,2098.373,1680.341,1324.040,945.031,570.805,228.430,56.522
Liberia,1418.816,1175.025,840.853,629.808,444.196,283.828,168.470,76.455,20.226
Libya,1285.421,1185.744,1095.416,1163.468,1049.200,617.154,284.259,138.926,51.699
Lithuania,300.675,242.841,316.878,337.565,355.909,420.558,352.811,223.283,171.771
Low-income countries,224911.617,179569.769,134069.626,93195.222,62528.872,41278.828,24828.994,12027.919,3299.765
Lower-middle-income countries,613940.582,581612.259,527833.441,462274.937,360828.931,269565.934,174748.958,79291.858,28138.384
Luxembourg,65.906,65.901,85.533,98.316,94.600,90.856,62.123,37.873,24.868
Madagascar,7762.937,6342.928,4898.736,3370.908,2387.858,1539.765,915.208,359.863,112.816
Malawi,5662.519,4738.053,3377.518,2286.023,1436.741,846.148,480.248,244.242,58.463
Malaysia,5143.189,5115.769,5770.368,5651.218,3990.533,3146.037,2151.365,1025.181,372.338
Maldives,72.821,59.438,139.684,137.607,64.649,35.316,18.164,8.466,4.397
Mali,6760.319,5009.462,3203.818,2160.455,1485.961,849.119,501.291,231.083,49.326
Malta,43.102,40.927,55.212,65.353,59.446,53.212,57.680,45.166,21.441
Martinique,35.953,47.122,41.372,34.102,44.187,62.795,52.467,33.672,23.595
Mauritania,1307.828,1007.555,787.902,619.779,422.632,267.150,151.073,67.186,18.555
Mauritius,132.886,175.164,196.809,175.108,182.090,175.349,137.990,69.213,27.158
Mayotte,71.474,64.566,43.627,32.986,27.349,16.164,9.372,4.998,2.277
Melanesia,2645.857,2334.972,1901.919,1520.035,1183.592,816.747,486.415,190.422,43.031
Mexico,22169.253,22350.463,21735.593,18880.030,16547.758,12757.971,8264.953,4188.713,2038.019
Micronesia,107.160,103.237,91.988,71.081,59.517,56.333,37.983,16.275,5.353
Micronesia (Fed. States of),24.048,23.299,22.348,15.088,11.429,9.785,6.732,1.929,0.363
Middle Africa,57747.073,42361.734,29209.751,20438.643,13484.487,8524.366,4939.448,2298.891,590.732
Middle-income countries,978440.465,931104.529,898318.885,883389.136,737423.793,623496.463,422866.283,199098.925,78913.136
Mongolia,737.475,500.443,500.016,564.280,423.046,314.052,158.362,59.889,20.729
Montenegro,73.943,78.537,84.196,88.348,83.922,80.320,76.945,40.438,21.413
More developed regions,137630.630,139486.412,151418.277,174067.914,171845.953,171869.978,154208.414,105753.317,67023.366
More developed: Asia,10179.969,11267.171,12147.325,14455.416,18473.075,16541.515,15875.235,16185.375,11351.377
More developed: Europe,79820.651,78144.719,84017.481,105312.677,104265.702,104269.102,91942.612,60249.169,39613.932
More developed: Northern America,43705.752,46319.089,51206.782,49962.411,45209.242,47322.935,43217.068,27110.565,14815.800
More developed: Oceania,3924.258,3755.433,4046.689,4337.410,3897.934,3736.426,3173.499,2208.208,1242.257
Morocco,6752.615,6097.196,5883.278,5606.356,4452.432,3743.784,2735.019,1197.078,442.800
Mozambique,9717.782,7595.458,5294.495,3588.739,2289.288,1400.167,843.662,420.845,104.999
Myanmar,9021.261,9916.644,9163.081,8072.999,7219.970,5573.219,3603.964,1423.030,415.626
Namibia,654.526,526.434,472.709,356.847,237.557,150.334,87.461,41.131,13.917
Nepal,5462.983,6120.130,5886.374,3792.742,3045.653,2307.700,1488.078,811.535,221.613
Netherlands,1752.763,1953.692,2097.480,2097.531,2151.436,2524.072,2129.501,1591.524,836.874
Netherlands (and dependencies),1792.586,1997.431,2142.025,2137.218,2195.872,2576.376,2171.356,1614.917,847.061
New Caledonia,41.314,43.203,43.192,41.491,40.823,34.951,22.795,13.303,4.419
New EU member states (joined since 2004),10351.650,10402.475,11695.916,15002.469,15754.997,13272.323,13759.774,8574.262,4815.973
New Zealand,615.284,624.953,671.235,619.066,591.874,628.691,522.312,361.832,186.986
New Zealand (and dependencies),618.391,628.081,674.056,621.438,594.514,631.457,524.416,362.950,187.462
Nicaragua,1317.146,1240.161,1166.000,1055.452,763.037,507.320,348.752,150.502,76.184
Niger,8758.026,5901.125,3717.357,2259.015,1528.694,1046.850,644.749,295.959,54.861
Nigeria,63852.441,47703.190,33177.419,24368.050,17037.461,10700.171,6258.526,2623.703,418.626
No income group available,476.292,478.657,414.410,361.811,372.399,360.342,260.154,140.327,79.176
Non-Self-Governing Territories,272.145,271.200,271.320,265.777,239.628,202.785,134.746,69.016,27.055
North American Free Trade Agreement (NAFTA),65861.658,68654.178,72926.284,68826.961,61742.822,60060.481,51465.867,31289.986,16849.320
North Atlantic Treaty Organization (NATO),106484.518,111264.713,119648.918,126737.584,125132.177,126424.466,109294.115,73813.548,45455.628
North Macedonia,227.552,233.451,282.983,325.977,299.901,282.832,244.646,133.883,52.155
Northern Africa,57003.225,44262.082,39521.028,36469.432,27281.437,19972.294,13199.405,6269.587,2254.018
Northern Africa and Western Asia,110790.332,91966.952,86604.298,82828.348,63152.968,44103.899,27896.161,13278.584,5247.740
Northern America,87411.504,92638.178,102413.564,99924.822,90418.484,94645.870,86434.136,54221.130,29631.600
Northern Europe,12425.725,12011.784,13314.681,14307.730,13633.912,14252.635,11660.423,9314.177,5340.204
Norway,614.323,643.031,726.383,738.724,724.930,712.508,586.156,446.448,228.739
Oceania,6810.195,6321.649,6145.062,6017.751,5221.974,4681.457,3744.304,2436.638,1298.779
Oceania (excluding Australia and New Zealand),2885.937,2566.216,2098.373,1680.341,1324.040,945.031,570.805,228.430,56.522
Oman,832.573,530.304,1085.543,1439.820,684.969,315.600,142.787,53.058,21.968
Organisation for Economic Co-operation and Development (OECD),151856.706,157793.981,169353.802,176181.472,175867.737,171868.945,145423.566,102021.903,63101.358
Organization for Security and Co-operation in Europe (OSCE),156446.245,152902.087,163811.199,183514.515,172085.520,169984.985,147633.072,92888.798,57028.211
Organization of American States (OAS),147113.353,151570.580,158033.414,148877.821,128704.035,115000.624,89758.958,52091.045,26971.297
Organization of Petroleum Exporting countries (OPEC),129403.194,100418.227,82304.655,77577.730,57059.072,36924.633,21786.225,9539.602,3130.941
Organization of the Islamic Conference (OIC),443447.878,370763.935,319549.820,277082.994,207722.148,146878.074,87917.664,40448.975,13719.000
Pakistan,53462.232,45427.436,39930.362,30816.023,21248.747,15122.613,8902.414,4558.929,1423.575
Panama,773.779,726.609,678.255,618.595,556.395,432.979,282.632,157.808,87.716
Papua New Guinea,2150.348,1917.883,1554.184,1220.537,938.384,629.119,372.086,136.655,27.831
Paraguay,1383.911,1336.278,1321.043,1109.126,727.638,548.364,402.162,213.725,90.283
Peru,5445.400,5134.604,5375.785,5231.162,4346.664,3313.879,2276.639,1255.409,592.304
Philippines,22014.294,21369.695,19584.114,15501.927,12311.227,9366.920,5878.871,2639.619,914.418
Poland,3784.871,3709.136,4431.558,6004.923,5535.441,4563.168,5174.147,2900.526,1742.835
Polynesia,132.920,128.007,104.466,89.225,80.931,71.951,46.407,21.733,8.138
Portugal,841.076,1015.166,1073.698,1215.309,1575.911,1481.007,1293.824,1018.314,682.402
Puerto Rico,240.324,394.666,288.753,331.517,399.244,414.184,361.025,273.681,157.446
Qatar,270.536,228.400,717.371,846.180,461.800,254.161,81.796,16.725,4.091
Republic of Korea,4153.813,4753.258,6716.294,7079.839,8218.844,8476.699,6453.706,3560.646,1856.084
Republic of Moldova,424.058,419.286,570.833,773.876,562.808,521.015,488.289,184.989,88.809
Romania,1905.047,2075.306,2086.264,2585.900,3026.468,2569.158,2535.948,1530.269,923.322
Russian Federation,18622.607,15256.037,15607.785,24468.555,20375.317,18897.666,18501.369,8549.718,5655.406
Rwanda,3561.023,2905.795,2211.043,1812.554,1070.094,728.447,445.154,174.817,43.282
Réunion,132.392,138.862,118.272,99.451,117.326,125.415,90.557,47.534,25.499
SIDS Atlantic, and Indian Ocean, Mediterranean and South China Sea (AIMS),2574.017,2370.431,2683.407,2629.698,2115.733,1788.030,1318.997,521.706,224.827
SIDS Caribbean,6916.252,6953.668,6685.299,6167.793,5245.888,5067.097,3382.864,2041.323,1045.969
SIDS Pacific,2884.493,2564.460,2096.601,1678.952,1322.206,943.316,569.219,227.730,56.122
Saint Lucia,21.812,24.335,32.816,28.447,25.517,23.375,14.555,8.357,4.415
Saint Vincent and the Grenadines,15.947,17.428,17.502,15.711,14.484,13.590,9.176,4.503,2.606
Samoa,51.123,41.998,31.295,22.012,19.560,16.470,9.960,4.580,1.412
Sao Tome and Principe,62.411,54.109,33.625,26.631,18.680,12.780,7.082,2.764,1.079
Saudi Arabia,5956.216,4860.281,5354.760,6980.363,6408.789,3216.572,1373.521,493.856,169.509
Senegal,5032.581,3863.702,2823.534,2051.292,1331.828,834.700,505.764,239.182,61.347
Serbia,855.820,999.731,1102.466,1214.884,1229.894,1121.508,1142.471,729.682,340.914
Seychelles,15.933,13.866,13.431,14.486,14.873,12.977,7.909,3.205,1.660
Shanghai Cooperation Organization (SCO),492302.887,490560.446,491839.031,510727.005,435181.756,390728.909,270348.750,125131.825,47642.080
Sierra Leone,2225.885,1867.196,1405.514,1017.050,672.894,419.133,234.025,108.809,26.479
Singapore,479.037,505.794,833.058,896.615,964.873,946.222,799.325,289.634,135.785
Slovakia,566.591,545.495,655.785,847.603,861.400,709.217,695.211,398.711,179.630
Slovenia,210.171,196.376,205.494,283.649,305.326,301.202,284.941,177.495,114.278
Small Island Developing States (SIDS),12374.762,11888.559,11465.307,10476.443,8683.827,7798.443,5271.080,2790.759,1326.918
Solomon Islands,196.170,148.825,111.830,82.050,68.670,40.695,22.978,11.993,3.667
Somalia,5215.364,3937.590,2693.876,1534.404,1053.894,733.972,462.790,210.107,51.222
South Africa,11585.605,10409.174,10141.489,10155.325,7043.275,4911.532,3164.441,1476.055,421.794
South America,64723.845,66738.480,69646.862,66950.184,56840.514,46656.824,32846.926,17765.712,8590.425
South Asian Association for Regional Cooperation (SAARC),337396.875,347826.716,325714.568,284387.629,220604.661,165057.592,107963.904,50299.166,17125.541
South Sudan,3245.682,2581.901,1962.952,1334.153,896.837,595.525,344.937,182.626,49.116
South-Eastern Asia,113028.193,110240.381,108736.685,100931.424,89191.109,72031.614,46145.183,20124.071,8191.194
Southern Africa,13544.504,12113.480,11624.786,11366.071,7856.497,5400.937,3489.488,1636.638,471.246
Southern African Development Community (SADC),105794.691,82251.194,60541.516,45595.373,30755.085,19623.823,11727.949,5467.639,1471.256
Southern Asia,351962.731,359574.644,338057.475,301127.075,232260.277,173352.923,113360.809,52653.773,18019.898
Southern Common Market (MERCOSUR),45839.545,47568.628,49104.703,48155.466,41175.725,33684.158,23813.560,12917.980,6210.650
Southern Europe,13390.244,15234.541,15946.198,18837.564,23441.678,22929.430,18559.229,13955.507,9920.852
Spain,4234.487,4736.077,4617.599,5901.993,7938.499,7046.327,5340.654,4015.306,2923.841
Sri Lanka,3350.035,3386.220,2901.857,2820.021,2881.105,2554.818,2013.196,1146.337,359.661
State of Palestine,1364.528,1109.493,965.725,664.296,448.140,297.318,151.853,77.835,22.228
Sub-Saharan Africa,324399.265,253430.128,185188.023,133416.965,89292.081,56463.720,33384.506,15120.418,3670.499
Sudan,12128.806,10123.657,7627.158,5203.245,3727.319,2552.951,1535.960,733.051,217.122
Suriname,104.831,102.231,95.772,82.786,72.724,64.828,36.928,18.685,7.849
Sweden,1193.951,1127.127,1276.930,1320.299,1264.123,1296.647,1093.868,994.244,532.081
Switzerland,884.945,834.867,1039.729,1219.224,1166.588,1320.622,977.435,751.993,459.215
Syrian Arab Republic,3635.903,3325.125,3099.983,2907.193,1928.901,1285.346,822.365,355.547,140.294
Tajikistan,2577.610,1788.367,1648.522,1390.331,882.399,700.890,387.890,117.606,44.027
Thailand,7439.832,8492.311,9630.308,9229.727,10914.257,10681.394,7624.356,3866.568,1921.225
Timor-Leste,331.878,306.716,244.908,159.027,100.788,88.473,50.144,28.914,7.594
Togo,2340.181,1914.996,1375.261,1064.557,744.517,450.714,255.937,111.493,21.081
Tonga,24.639,23.522,17.140,12.183,10.290,8.701,5.303,2.791,1.128
Trinidad and Tobago,184.451,185.810,183.002,242.861,191.442,175.062,135.893,73.654,27.316
Tunisia,2017.759,1639.938,1725.346,1914.064,1572.471,1361.506,962.594,424.106,200.834
Turkey,13419.270,13595.149,13174.163,12774.731,11446.579,8908.423,6192.392,3353.579,1474.781
Turkmenistan,1332.930,1008.743,1009.791,957.885,697.821,535.459,334.444,103.458,50.656
UN-ECE: member countries,157379.826,153806.648,164508.098,184072.401,172702.538,170466.329,148178.263,93288.368,57268.601
UNFPA Regions,1194400.151,1104314.330,1026563.867,960811.569,785789.034,650565.854,432007.485,204169.795,77343.950
UNFPA: Arab States (AS),90144.467,72021.426,63315.944,55113.221,39738.981,27875.012,17781.048,8360.365,2951.683
UNFPA: Asia and the Pacific (AP),642039.651,642339.739,637432.837,635683.190,541874.114,471348.214,313134.239,145529.320,53197.727
UNFPA: East and Southern Africa (ESA),178337.090,142336.238,106209.891,77092.029,50810.719,31960.846,19095.794,8926.793,2419.815
UNFPA: Eastern Europe and Central Asia (EECA),39968.879,35523.103,36762.728,39447.264,32637.157,28065.917,21702.205,10423.515,5435.217
UNFPA: Latin America and the Caribbean (LAC),103480.734,105334.753,106911.766,98995.381,83581.903,67780.528,46621.242,25024.899,12175.814
UNFPA: West and Central Africa (WCA),140429.330,106759.071,75930.701,54480.484,37146.160,23535.337,13672.957,5904.903,1163.694
UNICEF PROGRAMME REGIONS,1205243.221,1113914.539,1038549.121,977083.331,799922.306,659417.737,437870.509,207331.206,79004.239
UNICEF Programme Regions: East Asia and Pacific (EAPRO),290076.920,282765.095,299375.362,334556.115,309613.837,297995.291,199773.430,92875.547,35177.829
UNICEF Programme Regions: Eastern Caribbean,311.792,323.267,338.070,390.566,327.062,306.266,230.149,123.784,55.068
UNICEF Programme Regions: Eastern and Southern Africa (ESARO),153932.262,125098.644,94537.722,68688.991,45076.994,28172.466,16834.753,7799.001,2108.430
UNICEF Programme Regions: Europe and Central Asia (CEECIS),42983.027,38770.933,40095.305,43618.394,37366.534,32241.482,25803.068,13066.545,6940.154
UNICEF Programme Regions: Latin America,103065.824,104892.276,106450.156,98498.409,83140.038,67355.753,46306.385,24855.876,12101.290
UNICEF Programme Regions: Latin America and Caribbean (LACRO),103377.616,105215.543,106788.226,98888.975,83467.100,67662.019,46536.534,24979.660,12156.358
UNICEF Programme Regions: Middle East and North Africa (MENARO),107559.885,86478.517,81938.001,82700.409,60041.491,40406.547,24700.022,11137.698,3996.784
UNICEF Programme Regions: South Asia (ROSA),337396.875,347826.716,325714.568,284387.629,220604.661,165057.592,107963.904,50299.166,17125.541
UNICEF Programme Regions: West and Central Africa (WCARO),169916.636,127759.091,90099.937,64242.818,43751.689,27882.340,16258.798,7173.589,1499.143
UNICEF REGIONS,1342381.234,1253463.372,1192079.831,1150349.523,973155.023,833621.811,591785.302,312459.101,145503.532
UNICEF Regions: East Asia and Pacific,311793.534,306037.045,327394.583,366321.582,346364.502,332820.735,230404.267,117208.648,51042.394
UNICEF Regions: Eastern Europe and Central Asia,61605.634,54026.970,55703.090,68086.949,57741.851,51139.148,44304.437,21616.263,12595.560
UNICEF Regions: Eastern and Southern Africa,166610.863,135794.079,102714.347,74376.683,49266.873,31133.399,18660.875,8679.332,2388.311
UNICEF Regions: Europe and Central Asia,112052.098,106136.558,112163.485,133045.129,126514.322,122418.401,104312.668,65756.653,42213.669
UNICEF Regions: Latin America and Caribbean,103887.245,105911.207,107349.757,99446.854,84126.675,68362.511,47115.184,25381.011,12381.888
UNICEF Regions: Middle East and North Africa,97017.659,77678.972,75435.475,78565.708,57316.221,38622.966,23851.745,10849.589,4036.619
UNICEF Regions: North America,43705.752,46319.089,51206.782,49962.411,45209.242,47322.935,43217.068,27110.565,14815.800
UNICEF Regions: South Asia,337396.875,347826.716,325714.568,284387.629,220604.661,165057.592,107963.904,50299.166,17125.541
UNICEF Regions: Sub-Saharan Africa,336528.071,263553.785,192815.181,138620.210,93019.400,59016.671,34920.466,15853.469,3887.621
UNICEF Regions: West and Central Africa,169917.208,127759.706,90100.834,64243.527,43752.527,27883.272,16259.591,7174.137,1499.310
UNICEF Regions: Western Europe,50446.464,52109.588,56460.395,64958.180,68772.471,71279.253,60008.231,44140.390,29618.109
UNITED NATIONS Regional Groups of Member States,1340904.025,1252255.455,1191009.066,1149576.456,972624.052,833272.425,591605.016,312373.400,145479.290
Uganda,14855.952,11449.424,7872.675,5101.100,3133.404,1852.435,974.325,411.998,89.687
Ukraine,4589.511,4383.517,4898.491,7208.958,6406.404,5906.737,5539.856,2983.430,1816.855
United Arab Emirates,1011.713,842.991,2149.343,3169.314,1608.109,797.913,242.707,55.884,12.426
United Kingdom,8044.056,7642.473,8558.707,9295.024,8604.251,9173.465,7286.777,5830.635,3450.616
United Kingdom (and dependencies),8097.593,7702.491,8624.175,9361.700,8678.624,9252.629,7345.509,5869.785,3472.583
United Nations Economic Commission for Africa (UN-ECA),381085.458,297389.798,224441.270,169644.536,116345.211,76241.552,46454.815,21329.313,5894.638
United Nations Economic Commission for Latin America and the Caribbean (UN-ECLAC),103886.889,105910.834,107349.357,99446.454,84126.220,68361.990,47114.850,25380.546,12381.709
United Nations Economic and Social Commission for Asia and the Pacific (UN-ESCAP) Regions,712423.596,706527.341,705891.919,715911.300,617292.411,539412.152,371413.500,182351.442,76407.900
United Nations Member States,1340904.072,1252255.451,1191009.061,1149576.433,972623.976,833272.442,591604.985,312373.453,145479.301
United Republic of Tanzania,18362.316,14089.042,9846.249,7161.928,4820.727,2926.635,1622.800,741.236,163.280
United States Virgin Islands,12.868,14.018,12.731,9.731,11.766,14.449,14.021,10.901,3.938
United States of America,39721.484,42332.395,46094.075,44668.270,40348.397,42120.077,38488.170,24082.597,13147.182
United States of America (and dependencies),40019.797,42789.122,46440.324,45042.495,40794.847,42584.158,38887.564,24378.309,13312.831
Upper-middle-income countries,364499.883,349492.270,370485.444,421114.199,376594.862,353930.529,248117.325,119807.067,50774.752
Uruguay,473.070,478.929,511.560,461.146,455.020,391.077,327.921,220.266,154.738
Uzbekistan,6713.724,5460.854,5946.987,5577.195,3930.500,3068.761,1939.628,572.150,259.400
Vanuatu,80.885,66.926,50.768,41.003,29.192,20.545,11.437,4.838,1.556
Venezuela (Bolivarian Republic of),5094.599,5158.568,4130.339,4027.921,3564.974,3014.983,2042.555,989.860,412.144
Viet Nam,15478.572,13599.043,15389.496,16200.924,13572.962,11109.968,7342.687,2778.472,1866.459
WB region: East Asia and Pacific (excluding high income),290081.873,282770.888,299379.503,334557.876,309614.217,297995.754,199773.236,92875.098,35177.554
WB region: Europe and Central Asia (excluding high income),61219.858,53618.864,55230.890,67547.658,57184.849,50557.765,43739.059,21254.308,12361.383
WB region: Latin America and Caribbean (excluding high income),92009.306,94123.471,95349.650,88105.835,73882.431,59813.254,40415.161,21204.662,10140.842
WB region: Middle East and North Africa (excluding high income),86533.580,69177.803,64252.274,63675.198,45928.415,32567.820,21036.416,9718.756,3555.728
WB region: South Asia (excluding high income),337396.875,347826.716,325714.568,284387.629,220604.661,165057.592,107963.904,50299.166,17125.541
WB region: Sub-Saharan Africa (excluding high income),336110.590,263156.556,192461.626,138310.162,92738.092,58783.106,34767.501,15774.854,3851.853
WHO Regions,1337267.198,1248423.642,1186069.011,1143945.377,966666.229,827314.541,586586.701,309807.857,143930.360
WHO: African region (AFRO),328459.843,255840.922,188727.738,138862.234,93420.371,59309.216,35307.202,16072.735,4160.974
WHO: Americas (AMRO),147113.353,151570.580,158033.414,148877.821,128704.035,115000.624,89758.958,52091.045,26971.297
WHO: Eastern Mediterranean Region (EMRO),166284.195,137823.862,124058.670,111645.951,79410.832,54005.956,32440.327,15071.520,4979.473
WHO: European Region (EURO),113683.773,107498.952,113312.695,134120.606,127502.094,123157.731,104972.613,66183.848,42455.819
WHO: South-East Asia region (SEARO),341025.699,361157.626,345283.774,311307.229,256188.511,197215.752,128948.352,59456.728,20802.959
WHO: Western Pacific region (WPRO),240700.335,234531.700,256652.720,299131.536,281440.386,278625.262,195159.249,100931.981,44559.838
West African Economic and Monetary Union (UEMOA),41372.880,31053.201,21693.181,14826.516,9934.092,6238.968,3708.283,1663.170,362.595
Western Africa,123069.303,93279.751,66197.120,47504.613,32680.775,20823.508,12106.040,5206.975,993.170
Western Asia,53787.107,47704.870,47083.270,46358.916,35871.531,24131.605,14696.756,7008.997,2993.722
Western Europe,20296.563,20864.315,22481.138,25054.277,24688.321,29076.923,23991.248,17318.237,12375.299
Western European and Others Group (WEOG),106599.583,110980.427,118495.116,123071.112,120199.612,123835.863,104348.203,71827.038,44364.690
Western Sahara,112.594,98.369,104.985,108.715,82.794,51.951,28.374,7.612,1.936
World,1342381.234,1253463.372,1192079.831,1150349.523,973155.023,833621.811,591785.302,312459.101,145503.532
World Bank Regional Groups (developing only),1203352.082,1110674.298,1032388.511,976584.358,799952.665,664775.291,447695.277,211126.844,82212.901
Yemen,8033.408,6750.274,5732.746,4140.438,2362.804,1422.835,879.450,403.471,100.542
Zambia,5663.542,4550.181,3180.383,2185.194,1413.889,761.259,403.835,179.965,45.708
Zimbabwe,4308.160,3559.955,2482.991,1867.476,1257.822,698.089,425.415,200.358,62.661
